fecha,real,pred_random_walk,pred_arima,error_random_walk,error_arima
2024-10-02,4224.21,4192.468799289517,4183.0927100031395,-31.7412007104831,-41.11728999686056
2024-10-03,4203.43,4270.726790784258,4232.328024417175,67.29679078425761,28.898024417174383
2024-10-04,4197.73,4182.707087223845,4193.736769099603,-15.022912776154953,-3.9932309003961564
2024-10-07,4173.66,4192.025309312497,4200.887756039735,18.36530931249672,27.22775603973514
2024-10-08,4194.97,4149.676029323798,4167.285601747313,-45.29397067620266,-27.68439825268706
2024-10-09,4233.54,4216.435486792414,4203.274660229871,-17.104513207586024,-30.265339770128776
2024-10-10,4233.17,4272.549448891446,4238.135353141176,39.37944889144637,4.96535314117591
2024-10-11,4217.4,4232.799231576268,4229.672378947937,15.399231576267994,12.272378947937796
2024-10-14,4192.56,4201.654878454956,4215.046150881504,9.094878454955506,22.486150881503818
2024-10-15,4192.56,4167.813242940468,4188.489225048491,-24.746757059532683,-4.07077495150952
2024-10-16,4244.84,4192.56,4195.252475929481,-52.279999999999745,-49.587524070519066
2024-10-17,4266.2,4297.8862109480215,4255.7178270310005,31.686210948021653,-10.482172968999294
2024-10-18,4263.17,4287.713567971321,4264.508513703726,24.543567971320954,1.3385137037257664
2024-10-21,4252.15,4260.1356845511245,4262.024066596708,7.985684551124905,9.874066596707962
2024-10-22,4286.96,4241.135080255792,4250.032905166488,-45.82491974420827,-36.927094833512456
2024-10-23,4262.3,4322.129945825725,4296.124149592893,59.82994582572519,33.824149592893264
2024-10-24,4293.91,4237.729947219158,4251.817422586975,-56.180052780841834,-42.09257741302463
2024-10-25,4311.83,4325.822142659392,4305.896204350724,13.992142659391902,-5.933795649276362
2024-10-28,4316.73,4329.862909865729,4309.76580965082,13.132909865729744,-6.964190349179262
2024-10-29,4342.9,4321.645923592471,4317.796242797219,-21.254076407528373,-25.1037572027808
2024-10-30,4367.39,4369.284251339197,4347.926539250529,1.8942513391966713,-19.46346074947178
2024-10-31,4413.46,4392.069986915805,4369.736647134912,-21.390013084194834,-43.72335286508769
2024-11-01,4409.57,4460.114091269171,4421.793887976587,50.544091269171076,12.22388797658732
2024-11-04,4414.0,4405.675301314518,4403.51245276082,-8.324698685481962,-10.487547239179548
2024-11-05,4414.0,4418.443712908636,4417.255233264409,4.443712908636371,3.255233264409071
2024-11-06,4421.86,4414.0,4412.483742048743,-7.859999999999673,-9.376257951256775
2024-11-07,4430.4,4429.750380935911,4424.195292566941,-0.649619064088256,-6.204707433058502
2024-11-08,4344.55,4438.974262649302,4431.0723394979395,94.42426264930145,86.52233949793936
2024-11-11,4346.7,4260.1909610977,4325.141948114024,-86.50903890229984,-21.558051885976056
2024-11-12,4346.7,4348.855509425549,4358.017286766208,2.1555094255490985,11.317286766207872
2024-11-13,4413.79,4346.7,4342.647008637523,-67.09000000000015,-71.142991362477
2024-11-14,4478.21,4482.056768305023,4427.647140829785,3.8467683050230335,-50.56285917021523
2024-11-15,4475.57,4543.70540721393,4489.728521241673,68.1354072139302,14.158521241673043
2024-11-18,4454.68,4472.926151286518,4470.280974412187,18.246151286517488,15.600974412186588
2024-11-19,4400.69,4433.845084520187,4450.0065843150205,33.1550845201873,49.31658431502092
2024-11-20,4401.34,4347.2461654279805,4391.414701171977,-54.09383457201966,-9.925298828023188
2024-11-21,4414.06,4401.991420130104,4408.558952371749,-12.068579869895984,-5.501047628251399
2024-11-22,4387.09,4426.8427270515385,4417.68454068603,39.752727051538386,30.594540686030086
